Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.128.0.2-10.0.0.2-80-37485-6,10.0.0.2,37485,10.128.0.2,80,6,02/08/2018 08:31:05 오후,43129,5,5,226.0,3393.0,226.0,0.0,45.2,101.0702725829905,2816.0,0.0,678.6,1220.6857908569266,83911.05752509912,231.86255187924598,4792.111111111111,8912.857797087929,20529.0,10.0,22555.0,5638.75,10634.06818907985,21580.0,10.0,42250.0,10562.5,11572.411402411628,20626.0,20.0,0,0,0,0,160,176,115.93127593962299,115.93127593962299,0.0,2816.0,329.0,843.9911136972948,712321.0,0,1,0,0,0,0,0,0,1.0,361.9,45.2,678.6,0,0,0,0,0,0,5,226,5,3393,-1,235,1,0,0,0,0,0,0,0,0,0,No Label
10.128.0.2-10.0.0.2-80-37486-6,10.0.0.2,37486,10.128.0.2,80,6,02/08/2018 08:31:05 오후,43133,4,4,202.0,3393.0,202.0,0.0,50.50000000000001,101.0,3393.0,0.0,848.25,1696.5,83346.85739457028,185.4728398210187,6161.857142857142,9818.510909307504,20627.0,36.0,22470.0,7490.0,12180.077134402722,21547.0,68.0,42230.0,14076.666666666668,11252.972599865927,20627.0,1083.0,0,0,0,0,128,144,92.73641991050935,92.73641991050935,0.0,3393.0,399.44444444444446,1124.5693743730433,1264656.2777777778,0,1,0,0,0,0,0,0,1.0,449.375,50.5,848.25,0,0,0,0,0,0,4,202,4,3393,-1,235,1,0,0,0,0,0,0,0,0,0,No Label
10.128.0.2-10.0.0.2-80-37489-6,10.0.0.2,37489,10.128.0.2,80,6,02/08/2018 08:31:05 오후,43289,6,6,173.0,3393.0,173.0,0.0,28.833333333333336,70.6269542502483,1408.0,0.0,565.5,689.7993186427484,82376.58527570515,277.2066806810044,3935.3636363636365,8278.41384895352,20778.0,9.0,22500.0,4500.0,9490.052344428876,21466.0,25.0,42451.0,8490.2,11155.124817768738,20778.0,25.0,0,0,0,0,192,208,138.6033403405022,138.6033403405022,0.0,1408.0,274.3076923076923,528.3310806390541,279133.73076923075,0,1,0,0,0,0,0,0,1.0,297.1666666666667,28.833333333333332,565.5,0,0,0,0,0,0,6,173,6,3393,-1,235,1,0,0,0,0,0,0,0,0,0,No Label
10.128.0.2-10.0.0.2-80-37491-6,10.0.0.2,37491,10.128.0.2,80,6,02/08/2018 08:31:05 오후,43111,4,4,182.0,3393.0,182.0,0.0,45.5,90.99999999999999,3393.0,0.0,848.25,1696.5,82925.47145740066,185.5674885760015,6158.714285714285,9893.150875130494,20822.0,18.0,22649.0,7549.666666666666,12297.608480242545,21742.0,48.0,41594.0,13864.666666666668,11782.346512190741,20888.0,262.0,0,0,0,0,128,144,92.78374428800075,92.78374428800075,0.0,3393.0,397.2222222222222,1125.0279749608205,1265687.9444444445,0,1,0,0,0,0,0,0,1.0,446.875,45.5,848.25,0,0,0,0,0,0,4,182,4,3393,-1,235,1,0,0,0,0,0,0,0,0,0,No Label
10.128.0.2-10.0.0.2-80-37490-6,10.0.0.2,37490,10.128.0.2,80,6,02/08/2018 08:31:05 오후,44169,5,5,153.0,3393.0,153.0,0.0,30.6,68.42368011149357,2816.0,0.0,678.6,1220.6857908569266,80282.55111050737,226.40313341936653,4907.666666666667,9043.882490390948,20971.0,10.0,23437.0,5859.25,11125.20979202939,22537.0,10.0,42218.0,10554.5,11917.387703128008,21030.0,16.0,0,0,0,0,160,176,113.20156670968326,113.20156670968326,0.0,2816.0,322.3636363636364,845.1681812192497,714309.2545454546,0,1,0,0,0,0,0,0,1.0,354.6,30.6,678.6,0,0,0,0,0,0,5,153,5,3393,-1,235,1,0,0,0,0,0,0,0,0,0,No Label
10.128.0.2-10.0.0.2-80-37493-6,10.0.0.2,37493,10.128.0.2,80,6,02/08/2018 08:31:05 오후,43497,4,4,182.0,3393.0,182.0,0.0,45.5,90.99999999999999,3393.0,0.0,848.25,1696.5,82189.57629261789,183.92073016529875,6213.857142857144,9925.903475730753,20847.0,20.0,22630.0,7543.333333333334,12325.632411090854,21769.0,51.0,42641.0,14213.666666666668,11349.26329474003,20847.0,1109.0,0,0,0,0,128,144,91.96036508264937,91.96036508264937,0.0,3393.0,397.2222222222222,1125.0279749608205,1265687.9444444445,0,1,0,0,0,0,0,0,1.0,446.875,45.5,848.25,0,0,0,0,0,0,4,182,4,3393,-1,235,1,0,0,0,0,0,0,0,0,0,No Label
10.128.0.2-10.0.0.2-80-37492-6,10.0.0.2,37492,10.128.0.2,80,6,02/08/2018 08:31:05 오후,43918,5,5,241.0,3393.0,241.0,0.0,48.2,107.77847651548987,1985.0,0.0,678.6,951.34105346085,82745.11589780956,227.69707181565647,4879.777777777777,8883.920035347259,20584.0,6.0,23312.0,5828.0,11106.990111336794,22480.0,6.0,42533.0,10633.25,11479.559381062207,20584.0,108.0,0,0,0,0,160,176,113.84853590782824,113.84853590782824,0.0,1985.0,330.3636363636364,691.3919688175837,478022.8545454546,0,1,0,0,0,0,0,0,1.0,363.4,48.2,678.6,0,0,0,0,0,0,5,241,5,3393,-1,235,1,0,0,0,0,0,0,0,0,0,No Label
10.128.0.2-10.0.0.2-80-37494-6,10.0.0.2,37494,10.128.0.2,80,6,02/08/2018 08:31:05 오후,43641,5,5,157.0,3393.0,157.0,0.0,31.4,70.2125344934934,1985.0,0.0,678.6,951.34105346085,81345.52370477303,229.1423202951353,4849.0,8756.943687725758,20404.0,14.0,23210.0,5802.5,11062.283745532233,22388.0,14.0,41742.0,10435.5,11413.276757063824,20404.0,52.0,0,0,0,0,160,176,114.57116014756765,114.57116014756765,0.0,1985.0,322.72727272727275,692.9398373465175,480165.61818181816,0,1,0,0,0,0,0,0,1.0,355.0,31.4,678.6,0,0,0,0,0,0,5,157,5,3393,-1,235,1,0,0,0,0,0,0,0,0,0,No Label
10.128.0.2-10.0.0.2-80-37488-6,10.0.0.2,37488,10.128.0.2,80,6,02/08/2018 08:31:05 오후,47916,4,4,226.0,3393.0,226.0,0.0,56.50000000000001,113.0,3393.0,0.0,848.25,1696.5,75528.00734618916,166.95884464479505,6845.142857142857,9720.93958813604,20941.0,28.0,26947.0,8982.333333333334,14799.110423715789,26065.0,53.0,42599.0,14199.666666666668,11675.465829393417,20941.0,718.0,0,0,0,0,128,144,83.47942232239753,83.47942232239753,0.0,3393.0,402.1111111111111,1124.0709991415629,1263535.6111111112,0,1,0,0,0,0,0,0,1.0,452.375,56.5,848.25,0,0,0,0,0,0,4,226,4,3393,-1,235,1,0,0,0,0,0,0,0,0,0,No Label
10.128.0.2-10.0.0.2-80-37495-6,10.0.0.2,37495,10.128.0.2,80,6,02/08/2018 08:31:06 오후,42888,5,5,252.0,3393.0,252.0,0.0,50.4,112.6978260659894,1985.0,0.0,678.6,951.34105346085,84988.80805819809,233.1654542063048,4765.333333333333,8891.54009438185,20448.0,21.0,22396.0,5599.0,10560.485216125251,21429.0,21.0,41961.0,10490.25,11558.212761928204,20541.0,21.0,0,0,0,0,160,176,116.5827271031524,116.5827271031524,0.0,1985.0,331.3636363636364,691.2577338051666,477837.2545454546,0,1,0,0,0,0,0,0,1.0,364.5,50.4,678.6,0,0,0,0,0,0,5,252,5,3393,-1,235,1,0,0,0,0,0,0,0,0,0,No Label
